e1down_flow,e1down_occupancy,e1down_speed,e1ramp_flow,e1ramp_occupancy,e1ramp_speed,e1up_flow,e1up_occupancy,e1up_speed,e2down_flow,e2down_occupancy,e2down_speed,e2ramp_flow,e2ramp_occupancy,e2ramp_speed,e2up_flow,e2up_occupancy,e2up_speed,e3down_flow,e3down_occupancy,e3down_speed,e3ramp_flow,e3ramp_occupancy,e3ramp_speed,e3up_flow,e3up_occupancy,e3up_speed,e4down_flow,e4down_occupancy,e4down_speed,e4ramp_flow,e4ramp_occupancy,e4ramp_speed,e4up_flow,e4up_occupancy,e4up_speed,e1,e2,e3,e4,raod_3,road_16,road_35,road_48
0,0.0,-1.0,0,0.0,-1.0,0,0.0,-1.0,4,0.9750000238418579,26.375,6,3.109999895095825,24.149999618530273,0,0.0,-1.0,5,1.225000023841858,24.31999969482422,5,2.6600000858306885,22.540000915527344,0,0.0,-1.0,2,0.47999998927116394,12.619999885559082,2,0.9300000071525574,26.969999313354492,0,0.0,-1.0,9,10,14,7,26,24,30,30
0,0.0,-1.0,0,0.0,-1.0,1,0.125,16.010000228881836,3,0.675000011920929,11.914999961853027,5,5.489999771118164,12.25,0,0.0,-1.0,2,0.4650000035762787,13.600000381469727,5,3.4600000381469727,18.559999465942383,0,0.0,-1.0,1,0.16500000655651093,12.135000228881836,3,2.1700000762939453,17.6200008392334,0,0.0,-1.0,0,8,29,0,22,20,24,26
11,2.5199999809265137,25.895000457763672,4,11.449999809265137,6.460000038146973,14,3.369999885559082,25.270000457763672,2,0.5699999928474426,11.024999618530273,2,4.159999847412109,7.019999980926514,0,0.0,-1.0,6,1.4950001239776611,22.80500030517578,6,3.700000047683716,16.68000030517578,0,0.0,-1.0,0,0.0,-1.0,2,1.5499999523162842,10.829999923706055,0,0.0,-1.0,14,25,42,6,24,22,30,26
38,9.475000381469727,21.93000030517578,2,16.5,1.5099999904632568,38,10.059999465942383,21.094999313354492,7,1.3499999046325684,25.299999237060547,6,9.970000267028809,13.020000457763672,0,0.0,-1.0,7,1.3399999141693115,25.520000457763672,6,3.759999990463257,19.989999771118164,0,0.0,-1.0,2,0.6100000143051147,10.4399995803833,3,3.930000066757202,8.260000228881836,0,0.0,-1.0,0,34,5,18,22,30,28,28
40,9.180000305175781,23.450000762939453,0,0.0,-1.0,39,9.029999732971191,23.630001068115234,5,1.3299999237060547,23.940000534057617,4,4.119999885559082,15.529999732971191,0,0.0,-1.0,1,0.44999998807907104,8.770000457763672,5,6.130000114440918,9.279999732971191,0,0.0,-1.0,6,1.3149999380111694,23.130001068115234,3,2.3499999046325684,14.260000228881836,1,0.14499999582767487,13.970000267028809,14,34,27,7,22,22,28,26
38,9.789999961853027,21.630001068115234,3,75.91999816894531,1.9900000095367432,35,9.345000267028809,21.309999465942383,4,0.8500000238418579,12.204999923706055,3,1.7999999523162842,20.239999771118164,0,0.0,-1.0,9,2.0799999237060547,23.125,7,11.279999732971191,10.890000343322754,0,0.0,-1.0,7,1.7699999809265137,22.380001068115234,3,2.549999952316284,13.649999618530273,4,0.9750000238418579,12.789999961853027,19,18,31,28,30,26,28,20
41,10.970000267028809,20.93000030517578,4,79.20999908447266,1.9900000095367432,38,14.864999771118164,16.334999084472656,3,0.6899999976158142,24.46500015258789,4,2.6600000858306885,15.489999771118164,0,0.0,-1.0,6,1.7899999618530273,22.0,6,3.619999885559082,16.139999389648438,0,0.0,-1.0,7,1.4100000858306885,25.21500015258789,3,2.0799999237060547,19.450000762939453,4,0.6050000190734863,27.474998474121094,2,28,5,18,28,20,30,30
38,9.154999732971191,22.03499984741211,1,93.36000061035156,0.12999999523162842,37,9.280000686645508,22.279998779296875,7,1.5199999809265137,26.264999389648438,6,4.480000019073486,19.889999389648438,0,0.0,-1.0,2,0.3700000047683716,10.819999694824219,4,8.289999961853027,8.239999771118164,0,0.0,-1.0,10,2.2849998474121094,24.799999237060547,2,0.8700000047683716,19.850000381469727,7,1.440000057220459,26.90999984741211,37,34,16,0,24,20,24,26
41,10.029999732971191,21.689998626708984,7,39.689998626708984,2.0,36,22.244998931884766,14.970000267028809,4,1.0199999809265137,12.015000343322754,5,3.440000057220459,17.729999542236328,0,0.0,-1.0,5,1.1500000953674316,23.029998779296875,5,29.65999984741211,4.130000114440918,0,0.0,-1.0,4,0.9449999928474426,30.404998779296875,3,3.509999990463257,9.380000114440918,5,1.0450000762939453,30.529998779296875,16,16,12,0,28,22,28,20
41,10.905000686645508,20.604999542236328,3,24.0,1.4299999475479126,38,22.1200008392334,14.755000114440918,6,1.100000023841858,26.850000381469727,3,2.7899999618530273,15.5,7,1.2000000476837158,28.450000762939453,5,1.4249999523162842,23.130001068115234,5,33.119998931884766,2.4800000190734863,1,0.13500000536441803,14.800000190734863,4,0.5550000071525574,31.099998474121094,1,6.53000020980835,2.549999952316284,3,0.5249999761581421,32.23999786376953,24,7,3,1,22,24,22,28
